label,speech_rate,lexical_density,1gram_repeat,audio_signal,ZCR(mean),ZCR(std),mfcc_1(mean),mfcc_1(std),mfcc_2(mean),mfcc_2(std),mfcc_3(mean),mfcc_3(std),mfcc_4(mean),mfcc_4(std),mfcc_5(mean),mfcc_5(std),mfcc_6(mean),mfcc_6(std),mfcc_7(mean),mfcc_7(std),mfcc_8(mean),mfcc_8(std),mfcc_9(mean),mfcc_9(std),mfcc_10(mean),mfcc_10(std),mfcc_11(mean),mfcc_11(std),mfcc_12(mean),mfcc_12(std),mfcc_13(mean),mfcc_13(std),mfcc_14(mean),mfcc_14(std),mfcc_15(mean),mfcc_15(std),mfcc_16(mean),mfcc_16(std),mfcc_17(mean),mfcc_17(std),mfcc_18(mean),mfcc_18(std),mfcc_19(mean),mfcc_19(std),mfcc_20(mean),mfcc_20(std),mfcc_21(mean),mfcc_21(std),mfcc_22(mean),mfcc_22(std),mfcc_23(mean),mfcc_23(std),mfcc_24(mean),mfcc_24(std),mfcc_25(mean),mfcc_25(std),f0_max,f0_min,f0_median,f0_std
Intermediate,96.0,50.0,2,[0.01898193 0.03512573 0.04373169 ... 0.00021362 0.00073242 0.00149536],0.10499601910828026,0.05753575203600289,-341.2642371833706,76.39570702485958,97.55398729599253,33.58326256365447,-7.285146724540964,24.578632893111408,5.270116867578855,21.992371730102867,-4.145521158033902,13.294012501692505,-17.34192220311407,18.890514489941857,-24.721039563080534,11.343472116000102,-14.752174514583464,12.70444404731663,-4.306770731230005,15.638455114307678,-14.49437839826921,9.454072839526296,-12.425291425861499,7.910433676470701,-11.62652482297807,8.573613995309268,-17.067975599980752,7.964464165864532,-6.8993020955890625,7.9736070530842955,-15.281644470585576,6.985223537292392,-7.770837144596129,7.374707354674913,-12.84921461838106,6.145284424644917,-13.636169943385308,7.43556854219554,-10.025660676706975,6.319067887116354,-7.156660887942278,5.199458703880282,-6.8400786646898935,6.7269045327274535,-3.2281543824465735,6.8328516009902085,-5.045823834356029,7.404361154935569,-2.432830572672472,6.939135206602396,-4.8942123121424865,7.7657568768443905,297.0769881570017,160.1218501126406,210.06515286029162,26.743752132803213
Intermediate,168.0,42.85714285714285,0,"[-0.0402832  -0.00167847  0.1835022  ... -0.00692749 -0.04559326
 -0.05563354]",0.1373967456210191,0.10946159856394402,-103.1935966371741,49.77711740017273,74.2311435935707,31.695268717944042,1.0784655887846557,18.573529803211223,81.09319474327332,20.980941694620643,-18.29311568556139,16.670248243121954,33.65535423419873,16.354107808341578,-30.72764899719221,15.798543563225744,9.089047845768631,15.845168895008115,-23.539036834317915,9.142208828165403,-4.620554829121256,13.422320672234315,-24.390124361129786,9.291948824419478,6.884156878587825,7.417305935714247,-13.205216323498728,8.501583000835563,-2.952590545237841,7.818212281301901,-7.714984556259835,7.956797410931653,-7.490137174863225,8.706304069487718,-4.24980642863822,6.489485428409875,-14.228655411794383,6.851082996408086,0.6677887469710366,7.506202647596777,-10.5067893345018,6.544103192119627,0.2940910866832713,5.925209535917354,-8.499657905182548,6.881311557929464,3.628769963317249,5.844373040601232,-8.697351063137624,6.1767384039619575,0.8863143876435398,5.704459318263162,202.90956258890662,109.36644661993022,143.47872767421205,19.63683357009307
Intermediate,84.0,28.57142857142857,0,"[ 0.04153442  0.04244995  0.03106689 ... -0.11456299 -0.14624023
 -0.17617798]",0.1346972034235669,0.04979149717732928,-292.2138189540414,43.94290972454796,80.78492458460958,19.430567141005493,-12.146587179884683,9.250059058541451,12.77884446307453,15.572830712159478,-11.283516495843417,8.42719547777408,-5.287024547996764,10.217412246390959,-20.126142604225375,12.130812245833399,-1.7421497928584384,8.572667971674573,-6.064750098259215,7.059688017308714,-15.779686638239568,6.379714003583605,-12.220702439764768,7.970981819307793,-10.330140012459545,7.521917429458553,-4.453227065470448,6.717128498386575,-8.843090541452755,5.248213865887421,-10.00731558866202,5.366747180887212,-0.6321636600940675,5.300603130938225,-12.981823799124964,4.875697894776461,-7.007292479362877,5.44295541641362,-10.727900426913386,5.46717538760382,-4.053253704269777,5.739377001009942,-10.541305512442765,5.44789384480581,-7.842676283405622,6.224236102236762,-5.139063669719823,5.466653348942161,-5.934185832933107,5.149503859078964,-5.629248873021165,4.717470352315679,466.1637615180899,111.27813843321147,144.72788083656883,63.73011669383862
High,144.0,33.33333333333333,2,"[-0.02322388 -0.01177979  0.00408936 ...  0.00476074  0.00592041
  0.00469971]",0.1283619874601911,0.058107754690101696,-287.65046771346925,65.2274105969278,64.10262259695155,32.18034308474473,15.516471555129272,26.438830308660762,43.444003903481786,20.200721706708052,17.76462759337856,14.794835084873391,5.692193421311006,12.844787547247975,-17.59895108809535,19.299693038263673,-3.005144372119645,16.450899091080284,0.28047215595875985,9.984321486368604,-1.681817497167896,13.591394942780413,6.299152057507458,11.001668697411024,4.400726078067518,6.77245395044681,-0.24766525900753059,7.034520381175038,8.46604511228393,6.701106643332093,-4.798179585265669,7.354537131859226,1.6996526046085751,7.5069684432536885,0.5970036979132828,5.695934036927664,0.37361729642888425,5.6957628556851425,-4.731686732634933,6.112933166989062,-2.2248888058839205,5.273044178852259,-3.1082323924448674,4.146019885170315,-2.3469090191426307,3.949204068468915,-3.9209438720903256,5.007377188621734,-0.5928821999685367,4.0565275595979955,-4.693600898070108,3.5952607827535075,126.35681904967383,77.78174593052022,93.57338770459413,13.832444578210659
Intermediate,96.0,12.5,2,"[ 1.86157227e-03  8.23974609e-04 -1.12915039e-03 ...  1.83105469e-04
 -9.15527344e-05 -1.06811523e-03]",0.06663639530254777,0.030473504475531706,-337.4207937849542,68.1584633502093,140.89948578072335,28.087124093854978,-18.727063905557404,19.29737091792317,17.823836662956168,15.161908581641796,3.3992141512067295,14.865869701477692,-10.996983471879812,13.169965294812476,-5.688472733868237,9.936137939561222,-6.12301526789064,11.005762863475747,0.7305138199540883,8.929550936154596,-7.337640627274198,10.133248707595683,-5.1967365139699435,7.480309189366198,-8.952823173326955,8.02128982468592,-1.408275733874483,6.93132347041507,-9.351266806539257,10.339992028084225,-3.324157415281964,7.67207143042283,-5.060296132687558,7.464941492676175,-6.353675487137943,5.401980492649044,-3.834774128191623,4.590556934802624,-6.019343353273698,5.615430777660887,-6.253423141346559,7.144334229647705,-3.7251509258877133,10.025394666360349,-0.5226756563782782,11.268635964579161,-6.919576406482435,10.724911757671943,2.60056334480479,8.947118598609899,-2.963298736726671,12.741376146528879,302.26980244077964,65.40639132514966,213.73702705379327,77.47903421004455
Intermediate,36.0,0.0,0,[0.11654663 0.12521362 0.13323975 ... 0.00115967 0.00588989 0.01193237],0.07683432026273886,0.054300398125307854,-246.22642570774278,28.25592114362196,117.37883763896727,25.74411622854635,-17.607357110846454,12.904998450882388,34.64478477950206,15.41435283872721,3.4635031541086154,10.044691408709006,4.449367098747465,8.333729991883708,-1.0996518805372426,8.41806903363401,-2.1300126399588617,8.957008892123653,-3.243848050671908,6.150499613260386,1.401771893895765,6.140354957028055,-3.2283382422739892,5.59503817753965,3.009262740179757,5.414739748196766,-2.4118843475039617,5.2584293742603325,5.797516015468205,5.34678561608104,-2.9913615179744264,6.131214254718718,2.496248218861199,4.274907877244607,-1.132771608642527,4.813878513140273,0.23003079348812663,5.157530184894522,0.0018221330031637664,4.204384034183977,2.6093471799694212,4.317762229382946,-0.2869626833246457,4.894942159050873,2.486916753690383,4.891375644956411,-1.8277259902332903,4.5898671748446045,-2.638795907129538,4.526626456863709,-3.8529046789483967,4.048819628333193,191.5211239251473,65.40639132514966,133.09934981412218,31.836975579133068
Intermediate,132.0,9.090909090909092,2,"[-0.00177002 -0.0022583  -0.00286865 ... -0.00088501  0.00265503
 -0.00726318]",0.06556964072452229,0.035324011777246624,-348.17184044133705,88.50413440793601,102.33566852572716,29.523391021979634,13.559548756699186,33.24331004949378,42.9728030512794,29.813245190683837,-6.439972254148046,26.768001519667862,4.805398346841695,17.01627287169065,2.8135845741450454,13.558654919246374,1.833336225119214,14.270682380130285,4.180471133357215,12.38159254480144,-12.433889203104208,16.673795876092075,3.3479879229052365,8.130544978425842,-2.2720635282827857,10.183145659844037,1.4576489557331276,10.365537768372834,4.227680253469495,9.507015914678988,-14.953902057481967,7.981295198484399,4.907581161829007,6.1897443865258674,-3.0861607661729997,6.3477128253642725,1.4535313225247957,5.66828714930742,-1.1691864236009082,5.783587301175912,-5.616543083991276,7.291316482464409,3.4834740712523518,6.500056175041886,-5.186401939552252,7.828284599856976,-2.265016884609111,5.25810451018996,0.18862459614544247,6.43192280059931,-6.408604986792294,7.211169267166932,246.94165062806206,65.40639132514966,191.5211239251473,59.65167014898866
Low,60.0,40.0,2,[0.02111816 0.02490234 0.0255127  ... 0.02124023 0.00720215 0.00228882],0.1670232882165605,0.10884314366638934,-414.0391008320443,164.40788848995567,82.89643751556898,50.89505216008699,-27.975214250974442,44.141672466752496,11.311791701649542,23.85009912235592,-22.675381489872546,27.075372759527433,-9.825428813816112,15.04512662340258,-10.219855286443774,16.853714944542844,-18.251370207330204,17.494964882728354,7.316843924079975,16.81168466148579,-12.426173037810354,16.022992768005462,-3.986344143131322,11.22748812999576,-0.8473779078952242,12.75676976383798,-12.120901321479359,12.673860541511624,7.715467753636091,7.920361537686116,-4.7687641009086095,7.3933324262388584,-14.179616127616308,11.686448937245013,-7.304222435119757,8.330158901718145,3.9235874979689944,7.709340085329091,-10.378712387393781,8.436702572457945,-0.11182443961119497,7.866977352517195,-7.083529191463352,8.96746486138456,0.6990114290621066,6.260965589699545,-5.326440224901448,5.4540156906016115,-0.7835041701857304,5.7945919550881735,-2.716471449524752,5.215675484683473,142.65235101161107,99.13755088719131,126.35681904967383,14.076013752753603
Intermediate,84.0,0.0,0,"[0.00000000e+00 3.05175781e-05 3.05175781e-05 ... 1.89208984e-03
 5.64575195e-03 1.37939453e-02]",0.158507912022293,0.06367661753985603,-234.89481608695277,64.56730792092684,65.27014688272979,22.410895644255824,-19.63127041524948,11.82223865441143,10.143513231462958,20.401950845318467,-21.42608049973308,15.2826405846725,-6.4691796275170335,7.561907914348056,-23.224883606558738,19.008719230611657,-14.120443906781167,8.556053032907187,-9.125761536567156,10.837369276127294,-13.471552181196797,10.43393169479515,4.449240102811077,12.959366553489431,-14.369025159911095,8.4480700242663,-8.30457292117696,9.433178517506349,-2.8875086020952043,9.195298437280927,-12.847602594839262,7.84570882938624,-3.153549066651032,6.697222006135879,-16.47005451914965,7.037503270929114,-4.59119220398912,6.288811546513763,-7.182291782989992,5.041120076154092,-3.1107257013457223,5.8742359900111705,-4.250326570849273,4.865136782233066,-7.1777296279183975,7.226188628052636,-7.854491315090565,5.742092924214113,-6.46373060284672,7.773066287852786,-7.9553169936648604,5.311765495278825,235.7901617579845,124.18608452867444,174.61411571650194,30.448200599679257
High,240.0,20.0,7,"[-0.11709595 -0.12216187 -0.11526489 ...  0.00033569  0.00311279
  0.00576782]",0.12990458300159236,0.06420100693466842,-221.3128859008385,64.87001540539481,79.27646401911576,33.368109821356455,3.523763996885626,21.558654840048902,30.062230683419745,18.202594201988777,6.362861706601397,23.361965869178192,8.458483416426933,12.850691628440133,-7.134338467591983,14.85825125611886,-13.480221582242367,15.1249302697683,-3.0494495692158563,11.867093179748908,-0.1912419766479664,9.31166828724953,1.9038121968167816,10.484451443481817,5.697034609569257,8.136102533419697,-1.80608231845037,7.618184266439354,8.255237740103206,7.732569639572516,-0.014958058551266327,6.274890132783923,-2.1982411766710204,6.030065273894763,-2.301961235194812,7.8200498416468855,-0.6705312898580361,5.532745776169428,-9.403735743968538,5.985363345473704,-1.650045064753331,6.583288960320264,-5.166102235786327,4.868940014539153,-3.237612174678609,4.924219159213754,-2.5842302233715215,4.366067614162434,0.018381753161364055,4.489357948243082,-2.0001121315701518,4.318942260907829,119.26495573315601,65.40639132514966,88.83315834800462,12.154027448469932
